회사ID,연매출액,년도,월,월별_연금보험료,월별_직원수
197556,629255,2018,12,619200,3
173808,10311592,2017,2,2196040,10
302250,12831327,2016,1,2424960,19
333449,3041843,2018,4,1544740,7
141574,4900388,2018,8,5254940,19
160233,1983611,2016,12,4273880,15
306893,14182286,2017,6,5085860,17
333873,2177303,2018,5,1534500,8
297175,86707331,2018,11,21815200,60
94885,3408062,2018,1,1485260,4
48986,5456002,2018,11,2601000,10
448656,1650046,2018,10,4325800,15
327508,10226838,2017,4,1471500,7
420165,93111515,2017,12,66374620,182
128076,40171227,2017,1,54742360,202
234860,11614510,2018,5,6537100,19
343437,1741180,2018,11,1771720,5
347499,2928073,2018,7,780660,5
159707,2951592,2017,1,3431720,14
136593,7820484,2017,12,11771820,50
236881,8747923,2018,8,4211020,17
272310,1916059,2018,7,2103640,6
163684,12357020,2017,12,4764820,15
277511,2920534,2018,10,501380,4
511424,2496510,2018,7,5825560,26
132359,22523574,2016,12,16158020,70
323080,2520721,2018,7,1054140,6
276184,997880,2018,4,648360,3
430507,1625514,2017,1,1839140,7
192166,961180,2016,8,1767680,8
45673,6965011,2018,5,1149300,6
246967,1226635,2015,12,1072300,10
133702,17124860,2018,4,15238000,65
133949,10074402,2018,3,14609000,55
508524,481276,2016,12,1294080,8
398429,755945,2018,5,601440,4
246141,1802115,2018,1,1554480,8
198490,2164946,2016,4,1074860,6
3312354,1451563,2019,9,1312200,3
141714,24815391,2017,4,9008280,35
250300,10305905,2018,3,734040,3
423044,3809389,2017,12,2793820,11
274656,2589968,2017,9,1319560,6
331110,3610933,2017,5,1491560,5
405196,2900857,2017,8,12334280,47
134582,17389993,2017,10,19886240,62
130729,407961401,2018,9,26264960,75
181809,7706127,2016,2,2350260,8
351928,2790995,2016,7,894760,4
341779,3115229,2017,1,1233160,6
564557,3463537,2018,8,1335480,10
304249,6055542,2017,3,4403460,19
115606,986144,2018,11,410300,3
441726,3287949,2017,4,9575960,44
471671,3757039,2018,12,7523600,48
305234,28093030,2015,12,4894740,20
155877,5207083,2017,1,1733740,8
308275,12341149,2016,5,2392160,14
514019,324477,2016,2,1676300,9
191020,5015052,2016,2,745640,3
165502,1304418,2017,9,3887040,14
286635,57581,2016,9,328860,4
297105,15699981,2016,9,7248700,40
386690,2342707,2016,7,623400,7
357606,902268,2016,9,521340,3
343906,15111362,2016,4,1399920,6
441821,3479448,2016,12,7791220,38
313660,2378584,2018,12,2074480,7
297402,13015849,2016,9,2621040,11
441397,7934801,2016,9,11237540,38
206303,233586,2016,10,470200,5
285702,1173869,2016,3,648000,4
325527,321711,2018,6,2127140,7
245285,1950583,2016,9,2566940,10
130729,363732805,2016,3,25619480,85
321709,17757674,2016,4,761400,3
316303,9660039,2016,7,2669840,10
237625,2834495,2017,10,2635260,19
152490,29758991,2018,6,6319640,22
391439,5000791,2018,11,1080860,6
408190,3019814,2016,11,3944580,14
383007,2956560,2016,11,4350560,41
423948,1554761,2016,8,1644000,6
351916,913560,2018,12,740240,3
93486,2920358,2018,7,1396340,4
169318,1217172,2018,11,2317280,11
181809,7706127,2016,9,2319260,8
164678,5638443,2018,11,2471280,16
173978,3431150,2016,3,1957200,7
307352,17111965,2017,1,3704480,12
171526,1154312,2018,4,2370000,12
443435,1574623,2016,12,3552080,22
459678,3072620,2016,2,534400,4
140487,8412533,2016,2,7473420,33
297105,15699981,2016,8,7401520,40
327405,5946872,2016,8,3242140,9
447400,1602546,2018,10,3076400,13
478922,1592906,2017,5,1319840,9
249371,3649853,2017,8,1774780,10
423838,692274,2017,1,1253940,5
440633,11015429,2017,10,30898920,94
139924,8248946,2016,10,7608780,37
419977,4334414000,2016,5,370003820,1313
150372,5609669,2016,7,7412300,24
257198,1586941,2018,11,860580,6
180401,3967273,2018,1,2841520,11
231260,18380837,2016,8,11973260,52
148855,1367509,2018,8,1597220,7
231260,43327752,2018,6,13305380,52
422677,7553225,2018,8,2582860,11
370828,5000960,2018,6,1014020,3
427092,3246744,2016,8,9209840,29
264568,228114,2016,10,780180,6
174094,1330091,2018,9,1526360,8
138312,22225805,2016,4,11364680,48
237625,2834495,2017,9,2635260,19
171526,2364471,2016,3,3076240,13
220026,299417,2017,8,690100,3
531418,1545159,2018,10,1148400,3
342837,22443961,2016,11,1385620,5
174453,3285544,2017,7,2760980,10
190720,3680361,2015,11,945900,4
324103,399754,2016,10,1155220,5
470895,8025291,2016,3,15604800,80
210623,732774,2016,7,843180,5
167915,2521546,2017,5,4538220,14
125415,1916795,2018,8,337480,3
189006,1837625,2016,1,1490040,8
543142,12914,2018,10,737460,4
187347,3715101,2016,6,532880,3
151026,187629,2018,6,1544300,8
304307,10933785,2016,12,4582340,19
258505,1360870,2015,12,724460,6
410492,1311841,2018,7,934360,4
220782,863404,2018,11,630000,4
231499,42748050,2016,8,16059320,56
510329,134718002,2017,3,129790120,584
242011,4619101,2017,12,1370940,10
151670,6525271,2018,9,4077300,17
376841,920535,2018,7,625400,3
484974,2722559,2018,9,679940,3
177025,441076,2018,10,897100,5
213913,4911153,2018,12,1150000,5
137784,13942269,2015,11,11220820,49
440745,2351476,2018,9,14645940,73
251429,972817,2018,5,1441880,10
470573,15804303,2017,6,10958860,85
2037,16308882,2019,11,29120920,92
156227,3276085,2016,3,3136640,13
299446,5935321,2018,12,5693980,28
229101,2028698,2018,8,2512300,15
264331,723643,2016,4,915640,4
135042,21247136,2016,11,17334580,56
130203,73883262,2017,7,23113920,101
139893,5029916,2016,11,9722600,41
236448,7317459,2018,9,1763160,12
164975,2489557,2017,3,3305720,16
141456,14823529,2017,11,10222860,33
445499,3252529,2017,9,1028600,5
325410,4963878,2018,7,1046520,8
146336,6369646,2017,8,8166100,29
131440,26330782,2017,11,19357120,76
125779,290409,2016,3,344700,3
339561,1965851,2016,8,1509120,6
381180,1323090131,2016,10,65115840,173
133531,8675561,2017,3,13750120,73
144934,8472084,2016,3,4411700,20
159195,3703386,2017,11,4142280,14
72557,8627594,2018,5,1313280,5
166200,7407210,2016,9,3352460,14
42550,266360,2018,12,1618500,9
403909,17869374,2017,1,30320640,120
470702,9529730,2017,2,11474960,104
188313,1481430,2018,6,2960240,9
181054,3403716,2016,10,2116400,9
329575,949639,2018,12,1319200,5
599171,4079835,2018,12,679580,3
265240,1097563,2016,4,599020,3
305082,7359630,2017,6,2903180,14
235288,27325691,2018,9,5806820,22
250620,3340955,2016,8,1883300,9
126606,1035707054,2018,4,342894700,937
26185,1096305,2018,9,1259100,8
220334,678245,2018,5,913380,4
316968,4014764,2016,3,2117940,9
511424,2496510,2018,6,5758720,27
130756,16664338,2018,12,12259400,76
458221,463002,2018,4,1455980,6
353838,18629363,2017,10,1402640,4
164033,9042716,2017,12,2633780,14
428394,1124299,2016,10,1085620,10
159487,10482295,2018,3,4984000,17
309273,35617571,2017,6,1704660,12
138820,1677179,2018,9,13878400,44
250889,515047,2017,12,755900,4
150135,7548658,2018,9,4883580,24
390443,9167251,2017,2,1445120,5
128405,36933232,2018,11,41850680,185
231090,22053005,2015,12,42447800,188
300595,6928429,2018,6,5150080,27
235680,4229271,2017,10,3957260,22
259491,617943,2016,11,599200,5
150452,8816537,2016,4,5654660,21
161987,1650637,2018,4,3037720,11
443435,1574623,2016,4,2085580,19
332411,3300732,2018,12,1142000,5
420232,15593800,2016,11,23928200,139
312924,11946713,2016,4,3262920,12
320762,7358081,2016,3,2136860,7
429710,3637399,2016,12,2003940,7
167368,3697730,2017,1,1667320,11
458727,511832,2018,9,1214800,6
396729,8657837,2018,8,1738860,7
302250,9770509,2018,8,2904960,19
350514,2424903,2018,6,809720,5
474551,2453562,2018,8,2715720,21
269826,907088,2018,12,966300,6
230758,1471561,2016,3,869660,3
381344,126011882,2016,10,29223440,112
394728,21625363,2017,5,38577120,162
136174,45456354,2017,5,16648700,54
408951,3135073,2017,6,2889420,17
339347,750145,2017,11,740860,5
346656,3957932,2018,11,791700,4
244424,5368002,2016,6,1925360,9
124463,522098,2016,7,933360,6
301049,10894731,2018,1,6853120,25
383007,2085386,2015,12,3133340,36
145384,10208927,2017,9,4953460,20
183491,2378439,2016,6,2009020,8
240497,8695310,2016,10,1739300,8
441523,5219307,2016,5,12154380,50
330348,13576629,2016,11,1365300,6
201024,1053476,2016,1,1614300,7
277615,730709,2018,6,454840,5
238647,6142991,2018,11,3919280,17
203233,6490847,2016,12,1666800,5
403754,37850010,2016,2,45148740,173
389155,8602916,2018,12,1320200,7
323107,8996893,2018,3,1841840,9
234236,110168840,2015,12,6913360,23
245643,1089218,2015,12,1649660,7
249363,3370612,2018,9,1283300,6
224763,2295112,2016,10,925180,3
233643,7272771,2017,3,5543620,30
150455,28684235,2017,3,4412560,18
228565,2525034,2016,5,3802240,21
153613,4237859,2018,3,7063480,23
124281,269644,2015,12,328380,6
248804,2487139,2018,9,2869700,9
126831,1753200162,2016,4,213087620,584
303586,2171642,2018,2,1447060,18
233078,9607688,2017,6,5667200,27
253465,8706388,2018,5,1948200,8
21851,2015355,2018,5,3615540,14
404055,17158684,2017,1,25606920,108
163524,1341760,2016,11,2753520,11
296986,36109015,2018,12,15674440,49
172949,1453200,2016,3,2047380,11
313845,3043323,2016,7,1687280,8
363283,1161375,2016,5,589480,4
231897,69024649,2017,1,14554640,55
455963,317945,2016,2,1135980,5
458220,600064,2018,1,724120,6
387953,5410151,2017,11,2604600,7
123882,5293947,2018,9,1523160,6
345507,1907931,2016,8,470340,5
362194,2658496,2016,5,609200,3
71256,5889329,2018,12,656440,4
311405,19965384,2018,2,2422520,11
206303,233586,2016,8,470200,5
233135,37484758,2017,3,7328340,29
452734,456111,2018,10,2757300,10
199731,283803,2016,7,1026700,7
133348,10406925,2018,1,13304920,67
307873,7712558,2016,5,3271100,16
415380,3710975,2017,8,1231180,6
312924,12108563,2018,4,3191960,12
39657,266220,2018,3,2936040,9
179050,4134391,2015,11,2480420,11
420082,150471304,2016,7,65832740,287
480496,371695,2016,10,781000,7
239880,4075227,2017,4,2439060,16
300154,15054380,2016,9,7212800,30
412167,711331,2016,12,1488120,10
443164,286225,2016,3,1452600,16
174397,2049692,2018,4,2379380,10
197730,2355003,2018,10,1890700,6
245809,1857528,2018,6,2640400,10
175424,2852559,2017,8,2310740,9
320762,7358081,2016,9,2473460,8
148106,18821505,2018,3,5967580,24
475595,1151340,2016,5,3401100,14
132029,5159831,2017,9,12801300,47
564822,101777,2018,11,1287620,8
507718,15006993,2018,12,5713100,23
288475,1493018,2018,12,812060,3
248865,2838462,2018,1,827000,5
280147,1641918,2016,10,648700,5
305317,39835550,2017,6,6425700,21
132029,1742823,2015,12,6450680,26
177870,3727669,2016,3,2295620,8
476160,1074618,2018,1,3117120,11
130203,72735013,2016,3,23253520,118
434452,629123,2017,3,979380,3
246141,1410745,2017,4,1764180,7
132946,22035324,2018,5,24807880,80
179948,971059,2018,11,834180,6
244463,5629077,2016,6,3391740,11
270567,89878,2016,11,587580,6
516607,2586020,2016,8,461760,4
304667,7089309,2017,9,3520920,19
137159,11067086,2016,11,14408520,52
297441,82547972,2017,12,10495220,47
251400,3442125,2018,10,2056200,8
144131,5633012,2016,12,10096620,32
184761,2265218,2016,12,1443120,6
266725,3731289,2018,9,3680460,14
131842,11734881,2018,1,21117000,91
136593,6527319,2018,9,8631320,40
449248,1374220,2018,12,2876980,10
245552,3864168,2018,8,2249800,12
267549,1847907,2017,5,830580,6
297081,13857114,2017,8,12535940,50
40164,1402615,2018,8,2306580,8
742694,3156184,2018,5,5315380,15
215068,313478,2018,11,1383900,5
164998,2172292,2017,11,2726400,13
237381,5325968,2017,9,5373680,18
147630,3359650,2017,5,7519900,22
20982,3117622,2018,5,3973720,15
499625,1182517,2018,9,1225960,5
242470,8511553,2018,4,2543820,11
190931,1363317,2016,8,1425680,5
139584,8415410,2018,12,9042080,35
132864,17870700,2018,5,13986460,60
525909,204237,2018,11,1638900,9
508524,481276,2016,7,1174560,8
180947,651769,2018,9,1518160,8
311138,5154727,2016,6,3197760,12
126664,323278620,2017,1,250633620,812
394038,3039262,2016,1,611980,3
128916,42224948,2016,12,55991180,165
179948,983843,2016,6,1511860,8
477645,3000027,2018,1,1701060,7
313742,1431030,2016,2,2272460,11
302860,9210778,2016,11,3833900,21
299586,10157398,2017,6,10170620,34
193239,1022910,2019,1,972080,6
51969,826106,2018,2,1666800,5
342218,1417280,2018,6,777960,5
188388,2415866,2018,3,1669120,8
444412,729506,2016,3,2391820,19
170121,2826779,2017,9,3034820,13
221435,4098762,2017,12,1089800,4
27500,3558079,2018,4,2569200,9
134582,20012397,2018,8,20640000,62
304851,3654798,2016,12,2909880,20
32507,6715903,2018,3,2269960,9
387413,2442496,2016,12,1611500,9
382038,5380589,2018,12,6844520,38
208661,1307670,2016,11,991600,5
231110,19589393,2018,8,79575100,258
287333,953688,2018,2,492020,4
270607,1973542,2018,9,897280,6
210711,1580575,2017,4,1013040,4
250271,5191905,2018,2,1736080,7
303882,29424793,2016,8,3742160,19
246712,4367817,2018,6,990520,3
381879,45362790,2016,9,24419440,80
268971,2438287,2016,8,1107160,5
254399,1003276,2017,2,1198160,7
245309,2967023,2016,1,723600,4
513441,822899,2018,2,1220460,11
443029,1328750,2018,7,5348020,20
247382,39951,2016,11,1376240,10
384670,2250277,2016,1,4721800,23
514711,667698,2015,11,998160,8
239170,3955738,2016,3,2118940,12
171114,4171959,2017,6,2872860,11
238454,2387903,2018,3,2126200,16
512507,1472229,2016,8,3142780,17
436781,334343,2018,10,769660,4
156235,5052587,2016,8,4618800,20
406830,2942843,2016,8,3534320,18
420165,93111515,2017,9,61915040,170
404139,8694049,2015,11,16557740,96
134995,15263748,2016,2,13358740,62
394697,12915021,2016,6,20380900,198
27101,1163673,2018,5,2098580,11
205704,1101317,2016,1,1340900,5
227414,4644329868,2017,9,906576960,2360
155326,2342012,2018,9,2188300,8
238002,9490847,2017,3,3497360,18
233434,13387074,2018,1,8796340,36
228130,17092968,2015,11,9067300,37
541012,988059,2018,7,4208020,17
481501,226973,2018,1,1223800,6
57539,884941,2018,10,819000,3
277748,998660,2018,12,1378700,4
383786,3667547,2018,5,5346760,26
489466,107003,2017,9,486780,3
412545,3620701,2016,11,1088880,5
183518,1135099,2018,12,2061500,9
350299,5030895,2018,6,1101740,6
426723,17947830,2017,1,9804280,53
242959,2223077,2016,9,2010940,11
400430,5885849,2018,7,906660,5
314985,5762551,2018,7,3550900,12
429289,10446359,2016,2,1707000,8
159828,2952597,2017,6,3647240,16
406133,7991185,2018,6,6953840,31
83413,556146,2018,11,846000,5
142449,16262747,2018,10,6406700,26
179096,1436545,2018,4,716940,3
332709,5532619,2018,10,1394900,5
135561,12977851,2015,12,12529920,53
227989,66299299,2016,5,17333980,61
385596,8313548,2016,7,2891820,15
312648,4050648,2016,10,2915680,12
396875,24636100,2017,12,4272360,15
249363,4848210,2016,11,1055400,6
123649,1969696,2016,5,1236020,8
196054,3031314,2016,6,1310120,6
67140,416652,2018,12,716300,6
441107,20876264,2017,8,19651420,57
301153,16661972,2018,5,9098380,27
511468,3586817,2016,2,4031300,27
149576,6766001,2016,5,3868460,24
429453,811259,2018,9,2132620,9
123464,1647383,2017,9,1398940,7
261685,2117016,2016,4,949380,7
235680,4229271,2017,8,4226000,23
253943,1209392,2016,12,1528180,7
139676,16822243,2017,7,9407260,38
408010,2229148,2016,5,3673480,17
414901,803236,2016,2,1793780,7
320168,808230,2018,11,583280,4
348882,1822216,2016,10,804500,6
178225,1991698,2015,12,1652820,10
128638,102649214,2016,1,35679900,147
419977,4334414000,2016,11,379000020,1273
471882,5306556,2017,1,6026120,44
207770,2024027,2018,1,1257820,6
463950,62637,2018,8,846080,4
153669,20838842,2016,9,5045500,19
310472,2676532,2018,2,2268320,12
207343,3913687,2016,6,1334780,5
135042,22418185,2018,12,21236500,63
189824,4794320,2016,4,2301920,8
462790,609564,2018,2,1101240,5
143906,17808706,2018,1,8792200,32
134484,47910039,2017,1,17834500,60
470075,7038414,2018,2,32500680,214
128723,26997002,2015,12,29644300,165
268702,1943483,2018,6,785600,5
426723,17081893,2018,3,11970120,61
135894,12290222,2017,5,13788300,58
296705,7463037,2017,8,977280,5
178959,4034688,2018,6,2570440,10
410036,617916,2018,6,2963740,13
314555,7475388,2018,10,2761440,8
33976,12262628,2018,3,2832200,10
209668,7145686,2018,2,1010060,3
246443,1049242,2018,5,1665420,10
328647,512414,2015,12,702260,7
267355,1733823,2018,6,1943800,6
234427,1531672,2018,12,1987880,10
407626,2439696,2017,10,6101680,21
476590,2912520,2018,8,2555340,11
167915,1737959,2016,7,4108360,13
321177,16971900,2018,11,2231260,8
259801,152320,2017,8,720240,7
191982,2621842,2016,5,1062800,6
553589,131900,2018,11,733500,3
143179,5338955,2016,2,4658940,27
142762,8625350,2017,9,8098260,32
305330,170943,2017,4,2923380,14
303178,11431955,2018,12,2096880,9
306755,3480000,2016,6,3511500,13
414905,840149,2016,1,1481560,6
510449,25154072,2017,7,18558520,95
153613,2911256,2017,10,7063480,23
473875,8281630,2017,1,8286660,25
275062,2298182,2018,5,1546200,6
396176,31487721,2016,11,3676960,18
137655,7434397,2015,11,14207940,42
251327,2755078,2018,10,1940840,7
457269,1713132,2016,7,1143320,7
150738,6593250,2015,11,5835780,24
155451,12129669,2018,8,2564120,11
135158,14512966,2017,9,9708380,47
140820,6193167,2017,2,8051180,38
479689,698523,2016,9,636800,5
131723,52763170,2016,12,18572120,87
133298,30076252,2017,9,24829220,74
127462,7948576,2018,2,46628100,178
165611,5903902,2016,2,1929640,7
321054,42977009,2016,2,1973120,9
139442,11386373,2018,6,7433780,26
440094,43950506,2018,3,94735300,327
444369,5577044,2018,1,4876460,20
383610,3545401,2016,8,7847840,33
128930,15281535,2018,12,35989960,143
474900,576962,2017,1,2659800,19
125397,2874434,2018,9,882600,4
221206,825636,2017,7,1148380,4
184728,3002646,2016,10,2258360,9
139904,3781768,2016,10,5371020,36
331827,947274,2018,6,1096460,4
312924,12108563,2018,8,3426820,12
45560,1301499,2018,2,1912380,8
474361,729427,2016,11,2993580,22
8268,5285115,2018,3,10053520,30
408190,3019814,2016,2,4181540,16
308275,15326606,2018,4,3424880,18
152959,6609250,2018,7,4906460,22
231859,40816295,2017,8,20191320,66
322469,9485000,2016,11,2669740,10
341613,1466290,2016,8,1370500,6
187347,5276133,2018,9,1337920,10
230596,218327,2017,5,538200,3
323775,3575444,2018,9,2500420,11
139924,8248946,2016,7,7436780,36
264827,579355,2016,7,669940,7
315754,2099205,2015,12,1177620,7
130428,22060523,2018,9,26413280,108
228957,12844071,2016,8,4732600,14
132359,22753821,2018,6,17315140,71
454276,332631,2018,9,789460,7
295618,83024015,2016,4,12504520,57
232688,2317424,2018,3,5981040,26
247515,2853675,2016,10,1247260,10
198515,1129326,2015,11,1622500,7
441545,1805080,2016,6,5523880,51
144137,5865704,2017,4,6992360,29
341075,3201114,2015,12,759680,4
103963,4727726,2018,7,926720,3
354599,1332571,2018,7,772440,4
92171,542974,2018,11,433700,3
464209,1899747,2018,3,996560,3
138453,6198186,2016,9,9787700,45
45621,3290197,2018,5,1081680,7
303084,12847899,2018,3,5754740,22
171040,1187521,2018,9,2807860,13
263829,973707,2018,3,928800,4
395694,3505256,2016,2,4382020,27
145384,10208927,2017,4,5316220,21
377217,3151320,2016,5,599400,3
409458,5089511,2016,5,2500360,11
125312,294163,2016,11,1116520,8
420046,607302624,2018,4,126999240,425
442361,6566801,2016,8,6317380,35
251353,1434225,2018,3,1516120,7
389632,1090008,2017,2,787840,6
235288,18379817,2017,5,5309920,22
356610,978847,2018,9,755360,3
182835,7401350,2018,7,1918760,10
314863,24706530,2016,4,1764620,8
363283,1315235,2018,4,516940,3
249708,8643294,2016,8,2762760,11
510449,24450163,2016,6,10630180,57
132864,22195017,2015,12,17693280,78
138269,46134671,2016,9,13027840,42
132623,21438504,2016,11,15645460,76
376841,386165,2016,8,474460,3
302848,18278690,2016,9,6402240,24
237462,4824834,2018,4,2587380,15
339523,3752525,2018,6,1625020,7
449589,543644,2018,7,3442700,13
140201,5729090,2018,9,7344940,41
164563,2126322,2018,9,2902980,12
255943,806330,2018,8,538880,5
184761,2265218,2016,6,1419000,6
394728,20232267,2015,11,31261720,146
510449,28299495,2019,6,30126780,154
507644,14392302,2017,4,3714320,18
237124,5871228,2016,11,2297620,13
269826,907088,2018,1,1007900,6
228293,9153391,2016,8,7677140,16
147363,11608825,2018,10,3829820,21
253465,9069633,2017,6,1784280,8
404071,8929436,2016,8,16748160,99
232688,2317424,2018,4,5981040,26
